Продажа;Время;Купюрами;Монетами;Банк. картой;Картой;Моб.приложение;Сдача;Итого;Розлито;На сумму
7846;2023.10.22 20:13:44;0;0;20;0;0;0;20;5;20
7845;2023.10.22 20:04:52;100;0;0;0;0;20;80;19,7;79,15
7844;2023.10.22 17:35:41;0;20;0;0;0;0;20;5;20
7843;2023.10.22 17:35:16;0;20;0;0;0;0;20;5;20
7842;2023.10.22 16:39:09;0;156;0;0;0;6;150;37,2;149,11
7841;2023.10.22 15:29:47;0;80;0;0;0;0;80;18,6;74,46
7840;2023.10.22 15:22:34;50;0;0;0;0;4;46;11,3;45,29
7839;2023.10.22 15:00:17;0;0;20;0;0;0;20;5;20
7838;2023.10.22 14:11:35;0;0;20;0;0;0;20;4,9;19,95
7837;2023.10.22 13:46:19;0;0;20;0;0;0;20;5;20
7836;2023.10.22 13:45:04;0;0;40;0;0;0;40;10;40
7835;2023.10.22 11:40:42;0;20;0;0;0;0;20;5;20
7834;2023.10.22 11:31:59;0;18;0;0;0;0;18;4,4;18
7833;2023.10.22 11:09:57;0;0;20;0;0;0;20;5;20
7832;2023.10.22 09:35:22;0;40;0;0;0;0;40;10;40
7831;2023.10.21 19:55:48;0;20;0;0;0;0;20;5;20
7830;2023.10.21 19:08:19;0;20;0;0;0;0;20;5;20
7829;2023.10.21 18:51:18;0;0;20;0;0;0;20;5;20
7828;2023.10.21 17:59:49;0;40;0;0;0;0;40;9,9;39,99
7827;2023.10.21 17:33:11;100;0;0;0;0;0;100;24,9;99,99
7826;2023.10.21 15:08:22;0;20;0;0;0;0;20;5;20
7825;2023.10.21 15:07:17;0;20;0;0;0;0;20;5;20
7824;2023.10.21 14:02:54;0;18;0;0;0;0;18;4,4;18
7823;2023.10.21 13:58:58;0;14;0;0;0;0;14;3,4;14
7822;2023.10.21 13:57:46;0;12;0;0;0;0;12;3;12
7821;2023.10.21 13:55:45;0;0;20;0;0;0;20;5;20
7820;2023.10.21 13:51:10;0;20;0;0;0;0;20;5;20
7819;2023.10.21 11:53:05;0;20;0;0;0;0;20;5;20
7818;2023.10.21 11:31:36;0;20;0;0;0;0;20;5;20
7817;2023.10.21 10:05:40;50;0;0;0;0;10;40;9,9;39,73
7816;2023.10.21 08:21:38;0;20;0;0;0;0;20;5;20
7815;2023.10.21 07:35:53;0;0;20;0;0;0;20;5;20
7814;2023.10.20 21:50:51;0;0;20;0;0;0;20;5;20
7813;2023.10.20 19:41:20;0;0;20;0;0;0;20;5;20
7812;2023.10.20 19:15:15;0;1;0;0;0;0;1;0,2;1
7811;2023.10.20 19:14:08;0;1;0;0;0;0;1;0,2;1
7810;2023.10.20 19:13:11;0;1;0;0;0;0;1;0,2;1
7809;2023.10.20 18:58:44;0;0;40;0;0;0;40;10;40
7808;2023.10.20 17:54:00;0;20;0;0;0;0;20;5;20
7807;2023.10.20 17:28:06;0;20;0;0;0;0;20;5;20
7806;2023.10.20 17:05:35;0;0;20;0;0;0;20;5;20
7805;2023.10.20 17:04:27;0;0;20;0;0;0;20;5;20
7804;2023.10.20 17:03:10;0;0;20;0;0;0;20;5;20
