Продажа;Время;Купюрами;Монетами;Банк. картой;Картой;Моб.приложение;Сдача;Итого;Розлито;На сумму
26831;2023.09.27 15:21:00;0;50;0;0;0;0;50;10;50
26830;2023.09.27 15:12:45;0;25;0;0;0;0;25;5;24,98
26829;2023.09.27 14:59:09;0;50;0;0;0;0;50;10;50
26828;2023.09.27 13:40:58;0;10;0;0;0;0;10;2;10
26827;2023.09.27 13:39:40;0;6;0;0;0;0;6;1,2;6
26826;2023.09.27 13:32:04;0;0;50;0;0;0;50;10;50
26825;2023.09.27 13:29:52;0;0;50;0;0;0;50;10;50
26824;2023.09.27 13:28:09;0;0;50;0;0;0;50;10;50
26823;2023.09.27 13:25:52;0;0;95;0;0;0;95;19;95,02
26822;2023.09.27 13:23:02;0;0;95;0;0;0;95;19;94,98
26821;2023.09.27 10:01:44;0;3;0;0;0;0;3;0;0
26820;2023.09.27 09:18:37;0;0;25;0;0;0;25;5;25,02
26819;2023.09.27 01:15:37;100;0;0;0;0;50;50;9,9;49,95
26818;2023.09.27 00:32:31;0;34;0;0;0;9;25;5;24,98
26817;2023.09.26 21:17:15;0;0;25;0;0;0;25;5;24,98
26816;2023.09.26 21:16:16;0;0;25;0;0;0;25;5;25,02
26815;2023.09.26 20:59:53;0;0;50;0;0;0;50;10;50
26814;2023.09.26 20:28:39;0;75;0;0;0;0;75;15;75,02
26813;2023.09.26 20:07:46;0;20;0;0;0;0;20;4;20
26812;2023.09.26 20:04:11;0;22;0;0;0;0;22;4,4;21,95
26811;2023.09.26 19:55:40;50;0;0;0;0;0;50;9,9;50
26810;2023.09.26 19:14:49;0;0;25;0;0;0;25;5;25,02
26809;2023.09.26 19:11:43;0;30;0;0;0;0;30;5;24,98
26808;2023.09.26 18:23:44;0;0;25;0;0;0;25;5;25,02
26807;2023.09.26 18:02:31;0;25;0;0;0;0;25;5;24,98
26806;2023.09.26 18:01:19;0;25;0;0;0;0;25;5;25,02
26805;2023.09.26 18:00:19;0;25;0;0;0;0;25;5;24,98
26804;2023.09.26 17:58:08;0;0;25;0;0;0;25;5;25,02
26803;2023.09.26 17:52:40;0;0;50;0;0;0;50;10;50
26802;2023.09.26 17:05:10;0;50;0;0;0;0;50;9,8;49,15
26801;2023.09.26 16:54:48;0;25;0;0;0;0;25;4,9;24,98
26800;2023.09.26 16:36:49;0;24;0;0;0;0;24;4,8;24
26799;2023.09.26 16:33:09;100;0;0;0;0;50;50;9,9;49,66
26798;2023.09.26 16:28:40;0;0;25;0;0;0;25;5;25,02
26797;2023.09.26 16:27:35;0;0;25;0;0;0;25;5;24,98
26796;2023.09.26 14:30:31;0;25;0;0;0;0;25;5;25,02
26795;2023.09.26 14:10:33;50;0;0;0;0;0;50;10;50
26794;2023.09.26 13:14:34;0;25;0;0;0;0;25;5;24,98
26793;2023.09.26 12:48:13;0;25;0;0;0;0;25;5;25,02
26792;2023.09.26 12:46:55;200;0;0;0;0;4;196;39;195,21
26791;2023.09.26 12:41:56;0;0;25;0;0;0;25;5;24,98
26790;2023.09.26 11:37:20;0;0;25;0;0;0;25;5;25,02
26789;2023.09.26 11:25:40;0;30;0;0;0;5;25;5;24,98
26788;2023.09.26 10:33:06;0;0;25;0;0;0;25;5;25,02
26787;2023.09.26 10:32:14;0;0;25;0;0;0;25;5;24,98
26786;2023.09.26 10:26:51;0;50;0;0;0;0;50;10;50
26785;2023.09.26 10:17:52;0;25;0;0;0;0;25;5;25,02
26784;2023.09.26 08:37:54;0;2;0;0;0;0;2;0,4;2
26783;2023.09.26 08:16:53;50;0;0;0;0;0;50;10;50
26782;2023.09.26 00:37:37;0;0;25;0;0;0;25;5;24,98
26781;2023.09.25 22:57:10;50;0;0;0;0;5;45;8,9;44,75
26780;2023.09.25 22:25:28;0;25;0;0;0;0;25;5;24,98
26779;2023.09.25 22:03:45;100;0;0;0;0;50;50;10;50
26778;2023.09.25 21:09:44;100;0;0;0;0;1;99;19,7;98,63
26777;2023.09.25 20:50:07;0;0;25;0;0;0;25;5;24,98
26776;2023.09.25 20:48:37;0;0;25;0;0;0;25;5;25,02
26775;2023.09.25 20:47:03;0;0;25;0;0;0;25;5;24,98
26774;2023.09.25 20:16:21;0;0;25;0;0;0;25;5;25,02
26773;2023.09.25 19:50:02;0;0;25;0;0;0;25;5;24,98
26772;2023.09.25 19:45:38;0;0;25;0;0;0;25;5;25,02
26771;2023.09.25 19:41:11;0;0;25;0;0;0;25;5;24,98
26770;2023.09.25 19:14:20;0;0;25;0;0;0;25;5;25,02
26769;2023.09.25 19:03:17;100;0;0;0;0;2;98;19,4;97,09
26768;2023.09.25 18:26:05;0;75;0;0;0;0;75;15;75,02
26767;2023.09.25 18:17:09;50;0;0;0;0;0;50;10;50
26766;2023.09.25 18:09:15;0;0;25;0;0;0;25;5;24,98
26765;2023.09.25 18:07:59;0;39;0;0;0;14;25;5;25,02
26764;2023.09.25 17:04:21;0;24;0;0;0;0;24;4,8;24
26763;2023.09.25 14:54:02;0;22;0;0;0;0;22;4,4;22
